id,name,credit_score,city,email,phone,country
26,Björn Smith,25,Pilington,Björn.Smith650@virtex.rum,25,RI
11859,Mary Doe,0,Lumdum,Mary.Doe-5926@ferser.edu,0,EU
1,Mary Doe,0,Lumdum,Mary.Doe0@muli.ry,4,EU
56,Emily Honjo,55,Kustruma,Emily.Honjo3080@ferser.edu,55,GZ
30,Björn Tarski,29,Lumdum,Björn.Tarski870@ferser.edu,29,PR
17788,Mary Doe,0,Kustruma,Mary.Doe35099692@virtex.rum,0,EU
5930,Mary Doe,,Lumdum,Mary.Doe-5926@ferser.edu,0,EU
58,Lisa Smith,57,Syndye,Lisa.Smith3306@virtex.rum,57,CM
29,Björn Shiramine,28,Syndye,Björn.Shiramine812@virtex.rum,28,EU
28,Björn Wolf,27,,Björn.Wolf756@virtex.rum,27,AI
60,Lisa Wolf,59,Syndye,Lisa.Wolf3540@cmail.com,59,FC
11886,Björn Wolf,28,Kustruma,Björn.Wolf756@virtex.rum,27,AI
5970,Maxine Doe,40,Lumdum,Maxine.Doe1640@ferser.edu,40,CM
46,Maxine Tarski,45,Lumdum,Maxine.Tarski2070@cmail.com,45,EU
5957,Björn Wolf,27,,Björn.Wolf756@virtex.rum,27,AI
