id, products
0,MILK,BREAD,BISCUIT

1,BREAD,MILK,BISCUIT,CORNFLAKES
2,BREAD,TEA,BOURNVITA
3,JAM,MAGGI,BREAD,MILK
4,MAGGI,TEA,BISCUIT
5,BREAD,TEA,BOURNVITA
6,MAGGI,TEA,CORNFLAKES
7,MAGGI,BREAD,TEA,BISCUIT
8,JAM,MAGGI,BREAD,TEA
9,BREAD,MILK
10,COFFEE,COCK,BISCUIT,CORNFLAKES
11,COFFEE,COCK,BISCUIT,CORNFLAKES
12,COFFEE,SUGAR,BOURNVITA
13,BREAD,COFFEE,COCK
14,BREAD,SUGAR,BISCUIT
15,COFFEE,SUGAR,CORNFLAKES
16,BREAD,SUGAR,BOURNVITA
17,BREAD,COFFEE,SUGAR
18,BREAD,COFFEE,SUGAR
19,TEA,MILK,COFFEE,CORNFLAKES
